"Financial year","Area name","Measure Name","Value"
"2019/20","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2018/19","NHS Scotland","Total Net NHS Expenditure (£ millions)",11909.6
"2018/19","NHS Scotland","Total Mental Health Expenditure (£ millions)",1006.2
"2018/19","NHS Scotland","Total CAMHS Expenditure (£ millions)",67.248
"2018/19","NHS Scotland","Mental Health Expenditure (%)",8.45
"2018/19","NHS Scotland","CAMHS Expenditure (%)",0.56
"2018/19","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",815.9
"2018/19","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",66
"2018/19","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",3.734
"2018/19","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.09
"2018/19","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.46
"2018/19","NHS Borders","Total Net NHS Expenditure (£ millions)",228.5
"2018/19","NHS Borders","Total Mental Health Expenditure (£ millions)",20
"2018/19","NHS Borders","Total CAMHS Expenditure (£ millions)",1.066
"2018/19","NHS Borders","Mental Health Expenditure (%)",8.74
"2018/19","NHS Borders","CAMHS Expenditure (%)",0.47
"2018/19","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",340.3
"2018/19","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",22.7
"2018/19","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",1.734
"2018/19","NHS Dumfries and Galloway","Mental Health Expenditure (%)",6.66
"2018/19","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.51
"2018/19","NHS Fife","Total Net NHS Expenditure (£ millions)",688.5
"2018/19","NHS Fife","Total Mental Health Expenditure (£ millions)",53.2
"2018/19","NHS Fife","Total CAMHS Expenditure (£ millions)",3.212
"2018/19","NHS Fife","Mental Health Expenditure (%)",7.73
"2018/19","NHS Fife","CAMHS Expenditure (%)",0.47
"2018/19","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",576.8
"2018/19","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",49.1
"2018/19","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",3.32
"2018/19","NHS Forth Valley","Mental Health Expenditure (%)",8.5
"2018/19","NHS Forth Valley","CAMHS Expenditure (%)",0.58
"2018/19","NHS Grampian","Total Net NHS Expenditure (£ millions)",1126.4
"2018/19","NHS Grampian","Total Mental Health Expenditure (£ millions)",79.1
"2018/19","NHS Grampian","Total CAMHS Expenditure (£ millions)",5.837
"2018/19","NHS Grampian","Mental Health Expenditure (%)",7.02
"2018/19","NHS Grampian","CAMHS Expenditure (%)",0.52
"2018/19","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",3127
"2018/19","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",298.9
"2018/19","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",17.676
"2018/19","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",9.56
"2018/19","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.57
"2018/19","NHS Highland","Total Net NHS Expenditure (£ millions)",686.1
"2018/19","NHS Highland","Total Mental Health Expenditure (£ millions)",54.6
"2018/19","NHS Highland","Total CAMHS Expenditure (£ millions)",2.942
"2018/19","NHS Highland","Mental Health Expenditure (%)",7.95
"2018/19","NHS Highland","CAMHS Expenditure (%)",0.43
"2018/19","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",1175.1
"2018/19","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",81.2
"2018/19","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",6.121
"2018/19","NHS Lanarkshire","Mental Health Expenditure (%)",6.91
"2018/19","NHS Lanarkshire","CAMHS Expenditure (%)",0.52
"2018/19","NHS Lothian","Total Net NHS Expenditure (£ millions)",1845.5
"2018/19","NHS Lothian","Total Mental Health Expenditure (£ millions)",142.6
"2018/19","NHS Lothian","Total CAMHS Expenditure (£ millions)",13.643
"2018/19","NHS Lothian","Mental Health Expenditure (%)",7.72
"2018/19","NHS Lothian","CAMHS Expenditure (%)",0.74
"2018/19","NHS Orkney","Total Net NHS Expenditure (£ millions)",52.6
"2018/19","NHS Orkney","Total Mental Health Expenditure (£ millions)",1.5
"2018/19","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.044
"2018/19","NHS Orkney","Mental Health Expenditure (%)",2.87
"2018/19","NHS Orkney","CAMHS Expenditure (%)",0.08
"2018/19","NHS Shetland","Total Net NHS Expenditure (£ millions)",52.4
"2018/19","NHS Shetland","Total Mental Health Expenditure (£ millions)",2.2
"2018/19","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.309
"2018/19","NHS Shetland","Mental Health Expenditure (%)",4.16
"2018/19","NHS Shetland","CAMHS Expenditure (%)",0.59
"2018/19","NHS Tayside","Total Net NHS Expenditure (£ millions)",954.4
"2018/19","NHS Tayside","Total Mental Health Expenditure (£ millions)",96.6
"2018/19","NHS Tayside","Total CAMHS Expenditure (£ millions)",7.184
"2018/19","NHS Tayside","Mental Health Expenditure (%)",10.12
"2018/19","NHS Tayside","CAMHS Expenditure (%)",0.75
"2018/19","NHS Western Isles","Total Net NHS Expenditure (£ millions)",72.7
"2018/19","NHS Western Isles","Total Mental Health Expenditure (£ millions)",3
"2018/19","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.425
"2018/19","NHS Western Isles","Mental Health Expenditure (%)",4.12
"2018/19","NHS Western Isles","CAMHS Expenditure (%)",0.58
"2018/19","State Hospital","Total Net NHS Expenditure (£ millions)",35.7
"2018/19","State Hospital","Total Mental Health Expenditure (£ millions)",35.7
"2018/19","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2018/19","State Hospital","Mental Health Expenditure (%)",100
"2018/19","State Hospital","CAMHS Expenditure (%)",0
"2018/19","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",131.7
"2018/19","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2018/19","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2018/19","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2018/19","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2017/18","NHS Scotland","Total Net NHS Expenditure (£ millions)",11568.6
"2017/18","NHS Scotland","Total Mental Health Expenditure (£ millions)",967.6
"2017/18","NHS Scotland","Total CAMHS Expenditure (£ millions)",64.57
"2017/18","NHS Scotland","Mental Health Expenditure (%)",8.36
"2017/18","NHS Scotland","CAMHS Expenditure (%)",0.56
"2017/18","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",800.8
"2017/18","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",67.2
"2017/18","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",3.957
"2017/18","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.4
"2017/18","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.49
"2017/18","NHS Borders","Total Net NHS Expenditure (£ millions)",215.9
"2017/18","NHS Borders","Total Mental Health Expenditure (£ millions)",18.5
"2017/18","NHS Borders","Total CAMHS Expenditure (£ millions)",0.994
"2017/18","NHS Borders","Mental Health Expenditure (%)",8.59
"2017/18","NHS Borders","CAMHS Expenditure (%)",0.46
"2017/18","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",315.6
"2017/18","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",22.6
"2017/18","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",1.58
"2017/18","NHS Dumfries and Galloway","Mental Health Expenditure (%)",7.15
"2017/18","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.5
"2017/18","NHS Fife","Total Net NHS Expenditure (£ millions)",676.8
"2017/18","NHS Fife","Total Mental Health Expenditure (£ millions)",54.5
"2017/18","NHS Fife","Total CAMHS Expenditure (£ millions)",2.917
"2017/18","NHS Fife","Mental Health Expenditure (%)",8.06
"2017/18","NHS Fife","CAMHS Expenditure (%)",0.43
"2017/18","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",560.1
"2017/18","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",48.3
"2017/18","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",3.053
"2017/18","NHS Forth Valley","Mental Health Expenditure (%)",8.63
"2017/18","NHS Forth Valley","CAMHS Expenditure (%)",0.55
"2017/18","NHS Grampian","Total Net NHS Expenditure (£ millions)",1099.5
"2017/18","NHS Grampian","Total Mental Health Expenditure (£ millions)",73.4
"2017/18","NHS Grampian","Total CAMHS Expenditure (£ millions)",3.789
"2017/18","NHS Grampian","Mental Health Expenditure (%)",6.68
"2017/18","NHS Grampian","CAMHS Expenditure (%)",0.34
"2017/18","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",3048.5
"2017/18","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",286.2
"2017/18","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",18.131
"2017/18","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",9.39
"2017/18","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.59
"2017/18","NHS Highland","Total Net NHS Expenditure (£ millions)",661.9
"2017/18","NHS Highland","Total Mental Health Expenditure (£ millions)",50.5
"2017/18","NHS Highland","Total CAMHS Expenditure (£ millions)",2.62
"2017/18","NHS Highland","Mental Health Expenditure (%)",7.62
"2017/18","NHS Highland","CAMHS Expenditure (%)",0.4
"2017/18","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",1147.8
"2017/18","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",75
"2017/18","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",5.939
"2017/18","NHS Lanarkshire","Mental Health Expenditure (%)",6.53
"2017/18","NHS Lanarkshire","CAMHS Expenditure (%)",0.52
"2017/18","NHS Lothian","Total Net NHS Expenditure (£ millions)",1779.3
"2017/18","NHS Lothian","Total Mental Health Expenditure (£ millions)",136.4
"2017/18","NHS Lothian","Total CAMHS Expenditure (£ millions)",13.761
"2017/18","NHS Lothian","Mental Health Expenditure (%)",7.67
"2017/18","NHS Lothian","CAMHS Expenditure (%)",0.77
"2017/18","NHS Orkney","Total Net NHS Expenditure (£ millions)",49.9
"2017/18","NHS Orkney","Total Mental Health Expenditure (£ millions)",1.4
"2017/18","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.079
"2017/18","NHS Orkney","Mental Health Expenditure (%)",2.86
"2017/18","NHS Orkney","CAMHS Expenditure (%)",0.16
"2017/18","NHS Shetland","Total Net NHS Expenditure (£ millions)",50.4
"2017/18","NHS Shetland","Total Mental Health Expenditure (£ millions)",1.7
"2017/18","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.314
"2017/18","NHS Shetland","Mental Health Expenditure (%)",3.41
"2017/18","NHS Shetland","CAMHS Expenditure (%)",0.62
"2017/18","NHS Tayside","Total Net NHS Expenditure (£ millions)",932.9
"2017/18","NHS Tayside","Total Mental Health Expenditure (£ millions)",94.3
"2017/18","NHS Tayside","Total CAMHS Expenditure (£ millions)",7.166
"2017/18","NHS Tayside","Mental Health Expenditure (%)",10.11
"2017/18","NHS Tayside","CAMHS Expenditure (%)",0.77
"2017/18","NHS Western Isles","Total Net NHS Expenditure (£ millions)",70.7
"2017/18","NHS Western Isles","Total Mental Health Expenditure (£ millions)",2.6
"2017/18","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.27
"2017/18","NHS Western Isles","Mental Health Expenditure (%)",3.67
"2017/18","NHS Western Isles","CAMHS Expenditure (%)",0.38
"2017/18","State Hospital","Total Net NHS Expenditure (£ millions)",34.9
"2017/18","State Hospital","Total Mental Health Expenditure (£ millions)",34.9
"2017/18","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2017/18","State Hospital","Mental Health Expenditure (%)",100
"2017/18","State Hospital","CAMHS Expenditure (%)",0
"2017/18","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",123.6
"2017/18","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2017/18","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2017/18","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2017/18","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2016/17","NHS Scotland","Total Net NHS Expenditure (£ millions)",11247.6
"2016/17","NHS Scotland","Total Mental Health Expenditure (£ millions)",936.7
"2016/17","NHS Scotland","Total CAMHS Expenditure (£ millions)",56.58
"2016/17","NHS Scotland","Mental Health Expenditure (%)",8.33
"2016/17","NHS Scotland","CAMHS Expenditure (%)",0.5
"2016/17","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",761.6
"2016/17","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",65.1
"2016/17","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",3.565
"2016/17","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.55
"2016/17","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.47
"2016/17","NHS Borders","Total Net NHS Expenditure (£ millions)",209.8
"2016/17","NHS Borders","Total Mental Health Expenditure (£ millions)",15.6
"2016/17","NHS Borders","Total CAMHS Expenditure (£ millions)",0.55
"2016/17","NHS Borders","Mental Health Expenditure (%)",7.43
"2016/17","NHS Borders","CAMHS Expenditure (%)",0.26
"2016/17","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",304.5
"2016/17","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",21.7
"2016/17","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",1.609
"2016/17","NHS Dumfries and Galloway","Mental Health Expenditure (%)",7.13
"2016/17","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.53
"2016/17","NHS Fife","Total Net NHS Expenditure (£ millions)",658.1
"2016/17","NHS Fife","Total Mental Health Expenditure (£ millions)",50.9
"2016/17","NHS Fife","Total CAMHS Expenditure (£ millions)",0.245
"2016/17","NHS Fife","Mental Health Expenditure (%)",7.73
"2016/17","NHS Fife","CAMHS Expenditure (%)",0.04
"2016/17","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",542.1
"2016/17","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",46.7
"2016/17","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",2.901
"2016/17","NHS Forth Valley","Mental Health Expenditure (%)",8.61
"2016/17","NHS Forth Valley","CAMHS Expenditure (%)",0.54
"2016/17","NHS Grampian","Total Net NHS Expenditure (£ millions)",1070.8
"2016/17","NHS Grampian","Total Mental Health Expenditure (£ millions)",68.9
"2016/17","NHS Grampian","Total CAMHS Expenditure (£ millions)",3.04
"2016/17","NHS Grampian","Mental Health Expenditure (%)",6.44
"2016/17","NHS Grampian","CAMHS Expenditure (%)",0.28
"2016/17","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",2981.9
"2016/17","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",283.4
"2016/17","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",18.954
"2016/17","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",9.5
"2016/17","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.64
"2016/17","NHS Highland","Total Net NHS Expenditure (£ millions)",640.3
"2016/17","NHS Highland","Total Mental Health Expenditure (£ millions)",45.7
"2016/17","NHS Highland","Total CAMHS Expenditure (£ millions)",0.085
"2016/17","NHS Highland","Mental Health Expenditure (%)",7.14
"2016/17","NHS Highland","CAMHS Expenditure (%)",0.01
"2016/17","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",1109.3
"2016/17","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",73
"2016/17","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",5.854
"2016/17","NHS Lanarkshire","Mental Health Expenditure (%)",6.58
"2016/17","NHS Lanarkshire","CAMHS Expenditure (%)",0.53
"2016/17","NHS Lothian","Total Net NHS Expenditure (£ millions)",1724.9
"2016/17","NHS Lothian","Total Mental Health Expenditure (£ millions)",132.6
"2016/17","NHS Lothian","Total CAMHS Expenditure (£ millions)",12.479
"2016/17","NHS Lothian","Mental Health Expenditure (%)",7.69
"2016/17","NHS Lothian","CAMHS Expenditure (%)",0.72
"2016/17","NHS Orkney","Total Net NHS Expenditure (£ millions)",47
"2016/17","NHS Orkney","Total Mental Health Expenditure (£ millions)",1
"2016/17","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.026
"2016/17","NHS Orkney","Mental Health Expenditure (%)",2.21
"2016/17","NHS Orkney","CAMHS Expenditure (%)",0.06
"2016/17","NHS Shetland","Total Net NHS Expenditure (£ millions)",48.6
"2016/17","NHS Shetland","Total Mental Health Expenditure (£ millions)",1.5
"2016/17","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.317
"2016/17","NHS Shetland","Mental Health Expenditure (%)",3.19
"2016/17","NHS Shetland","CAMHS Expenditure (%)",0.65
"2016/17","NHS Tayside","Total Net NHS Expenditure (£ millions)",919
"2016/17","NHS Tayside","Total Mental Health Expenditure (£ millions)",94.1
"2016/17","NHS Tayside","Total CAMHS Expenditure (£ millions)",6.66
"2016/17","NHS Tayside","Mental Health Expenditure (%)",10.24
"2016/17","NHS Tayside","CAMHS Expenditure (%)",0.72
"2016/17","NHS Western Isles","Total Net NHS Expenditure (£ millions)",70.4
"2016/17","NHS Western Isles","Total Mental Health Expenditure (£ millions)",3.4
"2016/17","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.293
"2016/17","NHS Western Isles","Mental Health Expenditure (%)",4.79
"2016/17","NHS Western Isles","CAMHS Expenditure (%)",0.42
"2016/17","State Hospital","Total Net NHS Expenditure (£ millions)",33.1
"2016/17","State Hospital","Total Mental Health Expenditure (£ millions)",33.1
"2016/17","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2016/17","State Hospital","Mental Health Expenditure (%)",100
"2016/17","State Hospital","CAMHS Expenditure (%)",0
"2016/17","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",126
"2016/17","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2016/17","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2016/17","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
"2016/17","National Waiting Times Centre (Golden Jubilee)","CAMHS Expenditure (%)",0
"2015/16","NHS Scotland","Total Net NHS Expenditure (£ millions)",10784.5
"2015/16","NHS Scotland","Total Mental Health Expenditure (£ millions)",928.9
"2015/16","NHS Scotland","Total CAMHS Expenditure (£ millions)",55.675
"2015/16","NHS Scotland","Mental Health Expenditure (%)",8.61
"2015/16","NHS Scotland","CAMHS Expenditure (%)",0.52
"2015/16","NHS Ayrshire and Arran","Total Net NHS Expenditure (£ millions)",727.5
"2015/16","NHS Ayrshire and Arran","Total Mental Health Expenditure (£ millions)",61.1
"2015/16","NHS Ayrshire and Arran","Total CAMHS Expenditure (£ millions)",3.788
"2015/16","NHS Ayrshire and Arran","Mental Health Expenditure (%)",8.4
"2015/16","NHS Ayrshire and Arran","CAMHS Expenditure (%)",0.52
"2015/16","NHS Borders","Total Net NHS Expenditure (£ millions)",199.5
"2015/16","NHS Borders","Total Mental Health Expenditure (£ millions)",16.3
"2015/16","NHS Borders","Total CAMHS Expenditure (£ millions)",0.712
"2015/16","NHS Borders","Mental Health Expenditure (%)",8.18
"2015/16","NHS Borders","CAMHS Expenditure (%)",0.36
"2015/16","NHS Dumfries and Galloway","Total Net NHS Expenditure (£ millions)",299.6
"2015/16","NHS Dumfries and Galloway","Total Mental Health Expenditure (£ millions)",21
"2015/16","NHS Dumfries and Galloway","Total CAMHS Expenditure (£ millions)",1.252
"2015/16","NHS Dumfries and Galloway","Mental Health Expenditure (%)",7
"2015/16","NHS Dumfries and Galloway","CAMHS Expenditure (%)",0.42
"2015/16","NHS Fife","Total Net NHS Expenditure (£ millions)",624.8
"2015/16","NHS Fife","Total Mental Health Expenditure (£ millions)",49
"2015/16","NHS Fife","Total CAMHS Expenditure (£ millions)",0.178
"2015/16","NHS Fife","Mental Health Expenditure (%)",7.85
"2015/16","NHS Fife","CAMHS Expenditure (%)",0.03
"2015/16","NHS Forth Valley","Total Net NHS Expenditure (£ millions)",528
"2015/16","NHS Forth Valley","Total Mental Health Expenditure (£ millions)",45.7
"2015/16","NHS Forth Valley","Total CAMHS Expenditure (£ millions)",2.688
"2015/16","NHS Forth Valley","Mental Health Expenditure (%)",8.65
"2015/16","NHS Forth Valley","CAMHS Expenditure (%)",0.51
"2015/16","NHS Grampian","Total Net NHS Expenditure (£ millions)",1024
"2015/16","NHS Grampian","Total Mental Health Expenditure (£ millions)",71.6
"2015/16","NHS Grampian","Total CAMHS Expenditure (£ millions)",4.857
"2015/16","NHS Grampian","Mental Health Expenditure (%)",6.99
"2015/16","NHS Grampian","CAMHS Expenditure (%)",0.47
"2015/16","NHS Greater Glasgow and Clyde","Total Net NHS Expenditure (£ millions)",2825.8
"2015/16","NHS Greater Glasgow and Clyde","Total Mental Health Expenditure (£ millions)",281.1
"2015/16","NHS Greater Glasgow and Clyde","Total CAMHS Expenditure (£ millions)",17.453
"2015/16","NHS Greater Glasgow and Clyde","Mental Health Expenditure (%)",9.95
"2015/16","NHS Greater Glasgow and Clyde","CAMHS Expenditure (%)",0.62
"2015/16","NHS Highland","Total Net NHS Expenditure (£ millions)",622.4
"2015/16","NHS Highland","Total Mental Health Expenditure (£ millions)",45.8
"2015/16","NHS Highland","Total CAMHS Expenditure (£ millions)",0.369
"2015/16","NHS Highland","Mental Health Expenditure (%)",7.35
"2015/16","NHS Highland","CAMHS Expenditure (%)",0.06
"2015/16","NHS Lanarkshire","Total Net NHS Expenditure (£ millions)",1077
"2015/16","NHS Lanarkshire","Total Mental Health Expenditure (£ millions)",74.8
"2015/16","NHS Lanarkshire","Total CAMHS Expenditure (£ millions)",4.757
"2015/16","NHS Lanarkshire","Mental Health Expenditure (%)",6.95
"2015/16","NHS Lanarkshire","CAMHS Expenditure (%)",0.44
"2015/16","NHS Lothian","Total Net NHS Expenditure (£ millions)",1644.9
"2015/16","NHS Lothian","Total Mental Health Expenditure (£ millions)",125
"2015/16","NHS Lothian","Total CAMHS Expenditure (£ millions)",11.734
"2015/16","NHS Lothian","Mental Health Expenditure (%)",7.6
"2015/16","NHS Lothian","CAMHS Expenditure (%)",0.71
"2015/16","NHS Orkney","Total Net NHS Expenditure (£ millions)",43.3
"2015/16","NHS Orkney","Total Mental Health Expenditure (£ millions)",0.9
"2015/16","NHS Orkney","Total CAMHS Expenditure (£ millions)",0.084
"2015/16","NHS Orkney","Mental Health Expenditure (%)",2.06
"2015/16","NHS Orkney","CAMHS Expenditure (%)",0.19
"2015/16","NHS Shetland","Total Net NHS Expenditure (£ millions)",46.9
"2015/16","NHS Shetland","Total Mental Health Expenditure (£ millions)",1.4
"2015/16","NHS Shetland","Total CAMHS Expenditure (£ millions)",0.269
"2015/16","NHS Shetland","Mental Health Expenditure (%)",2.95
"2015/16","NHS Shetland","CAMHS Expenditure (%)",0.57
"2015/16","NHS Tayside","Total Net NHS Expenditure (£ millions)",896.3
"2015/16","NHS Tayside","Total Mental Health Expenditure (£ millions)",95.7
"2015/16","NHS Tayside","Total CAMHS Expenditure (£ millions)",7.262
"2015/16","NHS Tayside","Mental Health Expenditure (%)",10.68
"2015/16","NHS Tayside","CAMHS Expenditure (%)",0.81
"2015/16","NHS Western Isles","Total Net NHS Expenditure (£ millions)",68
"2015/16","NHS Western Isles","Total Mental Health Expenditure (£ millions)",4.6
"2015/16","NHS Western Isles","Total CAMHS Expenditure (£ millions)",0.274
"2015/16","NHS Western Isles","Mental Health Expenditure (%)",6.75
"2015/16","NHS Western Isles","CAMHS Expenditure (%)",0.4
"2015/16","State Hospital","Total Net NHS Expenditure (£ millions)",35.1
"2015/16","State Hospital","Total Mental Health Expenditure (£ millions)",35.1
"2015/16","State Hospital","Total CAMHS Expenditure (£ millions)",0
"2015/16","State Hospital","Mental Health Expenditure (%)",100
"2015/16","State Hospital","CAMHS Expenditure (%)",0
"2015/16","National Waiting Times Centre (Golden Jubilee)","Total Net NHS Expenditure (£ millions)",121.3
"2015/16","National Waiting Times Centre (Golden Jubilee)","Total Mental Health Expenditure (£ millions)",0
"2015/16","National Waiting Times Centre (Golden Jubilee)","Total CAMHS Expenditure (£ millions)",0
"2015/16","National Waiting Times Centre (Golden Jubilee)","Mental Health Expenditure (%)",0
